"tick","Provider Population"
1821.0,1092
1822.0,1093
1823.0,1093
1824.0,1093
1825.0,1093
1826.0,1093
1827.0,1094
1828.0,1094
1829.0,1095
1830.0,1095
1831.0,1096
1832.0,1096
1833.0,1097
1834.0,1097
1835.0,1098
1836.0,1098
1837.0,1099
1838.0,1099
1839.0,1100
1840.0,1100
1841.0,1101
1842.0,1102
1843.0,1103
1844.0,1104
1845.0,1104
1846.0,1104
1847.0,1105
1848.0,1106
1849.0,1107
1850.0,1108
1851.0,1109
1852.0,1108
1853.0,1109
1854.0,1110
1855.0,1110
1856.0,1111
1857.0,1112
1858.0,1113
1859.0,1113
1860.0,1113
1861.0,1113
1862.0,1114
1863.0,1114
1864.0,1115
1865.0,1116
1866.0,1117
1867.0,1118
1868.0,1119
1869.0,1119
1870.0,1120
1871.0,1120
1872.0,1121
1873.0,1122
1874.0,1122
1875.0,1122
1876.0,1123
1877.0,1124
1878.0,1125
1879.0,1126
1880.0,1126
1881.0,1127
1882.0,1127
1883.0,1128
1884.0,1127
1885.0,1126
1886.0,1126
1887.0,1126
1888.0,1127
1889.0,1127
1890.0,1128
1891.0,1128
1892.0,1129
1893.0,1129
1894.0,1129
1895.0,1130
1896.0,1131
1897.0,1132
1898.0,1132
1899.0,1133
1900.0,1133
1901.0,1134
1902.0,1135
1903.0,1135
1904.0,1136
1905.0,1136
1906.0,1137
1907.0,1138
1908.0,1139
1909.0,1140
1910.0,1139
1911.0,1140
1912.0,1141
1913.0,1140
1914.0,1141
1915.0,1141
1916.0,1142
1917.0,1143
1918.0,1144
1919.0,1144
1920.0,1144
1921.0,1145
1922.0,1145
1923.0,1145
1924.0,1146
1925.0,1147
1926.0,1147
1927.0,1147
1928.0,1148
1929.0,1148
1930.0,1148
1931.0,1149
1932.0,1149
1933.0,1149
1934.0,1149
1935.0,1150
1936.0,1150
1937.0,1150
1938.0,1151
1939.0,1151
1940.0,1152
1941.0,1152
1942.0,1152
1943.0,1153
1944.0,1152
1945.0,1152
1946.0,1152
1947.0,1153
1948.0,1154
1949.0,1155
1950.0,1156
1951.0,1156
1952.0,1157
1953.0,1158
1954.0,1159
1955.0,1159
1956.0,1160
1957.0,1159
1958.0,1160
1959.0,1161
1960.0,1160
1961.0,1161
1962.0,1161
1963.0,1162
1964.0,1162
1965.0,1162
1966.0,1163
1967.0,1164
1968.0,1165
1969.0,1166
1970.0,1166
1971.0,1167
1972.0,1168
1973.0,1168
1974.0,1169
1975.0,1170
1976.0,1171
1977.0,1172
1978.0,1173
1979.0,1174
1980.0,1173
1981.0,1174
1982.0,1174
1983.0,1174
1984.0,1175
1985.0,1175
1986.0,1176
1987.0,1176
1988.0,1176
1989.0,1176
1990.0,1175
1991.0,1176
1992.0,1177
1993.0,1178
1994.0,1179
1995.0,1180
1996.0,1180
1997.0,1181
1998.0,1181
1999.0,1182
2000.0,1182
2001.0,1183
2002.0,1184
2003.0,1184
2004.0,1185
2005.0,1186
2006.0,1187
2007.0,1187
2008.0,1187
2009.0,1187
2010.0,1188
2011.0,1189
2012.0,1190
2013.0,1190
2014.0,1191
2015.0,1192
2016.0,1193
2017.0,1193
2018.0,1194
2019.0,1195
2020.0,1196
2021.0,1197
2022.0,1198
2023.0,1198
2024.0,1198
2025.0,1198
2026.0,1198
2027.0,1199
2028.0,1200
2029.0,1200
2030.0,1200
2031.0,1201
2032.0,1201
2033.0,1202
2034.0,1202
2035.0,1202
2036.0,1203
2037.0,1203
2038.0,1203
2039.0,1204
2040.0,1205
2041.0,1205
2042.0,1205
2043.0,1206
2044.0,1206
2045.0,1207
2046.0,1207
2047.0,1208
2048.0,1208
2049.0,1209
2050.0,1209
2051.0,1210
2052.0,1209
2053.0,1209
2054.0,1209
2055.0,1208
2056.0,1209
2057.0,1210
2058.0,1210
2059.0,1209
2060.0,1210
2061.0,1211
2062.0,1211
2063.0,1212
2064.0,1213
2065.0,1214
2066.0,1215
2067.0,1216
2068.0,1217
2069.0,1218
2070.0,1218
2071.0,1219
2072.0,1219
2073.0,1219
2074.0,1219
2075.0,1220
2076.0,1220
2077.0,1221
2078.0,1221
2079.0,1222
2080.0,1223
2081.0,1223
